Restaurant Name,City,Primary Cuisine,Cost Category,Rating,Votes,Latitude,Longitude
Le Petit Souffle,makati city,french,high,5.0,314,14.565443,121.027535
Izakaya Kikufuji,makati city,japanese,high,4.5,591,14.553708,121.014101
Heat - Edsa Shangri-La,mandaluyong city,seafood,high,4.5,270,14.581404,121.056831
Ooma,mandaluyong city,japanese,high,5.0,365,14.585318,121.056475
Sambo Kojin,mandaluyong city,japanese,high,5.0,229,14.58445,121.057508
Din Tai Fung,mandaluyong city,chinese,high,4.5,336,14.583764,121.056314
Buffet 101,pasay city,asian,high,4.0,520,14.53133333,120.9796667
Vikings,pasay city,seafood,high,4.0,677,14.54,120.9793333
Spiral - Sofitel Philippine Plaza Manila,pasay city,european,high,5.0,621,14.55299,120.98009
Locavore,pasig city,filipino,high,5.0,532,14.572041,121.056532
Silantro Fil-Mex,pasig city,filipino,high,5.0,1070,14.567689,121.057916
Mad Mark's Creamery & Good Eats,pasig city,american,high,4.0,488,14.570849,121.06082
Silantro Fil-Mex,quezon city,filipino,high,5.0,294,14.649503,121.075419
Guevarra's,san juan city,filipino,high,4.0,458,14.59345,121.0335917
Sodam Korean Restaurant,san juan city,korean,high,4.5,223,14.59889,121.03811
Cafe Arabelle,santa rosa,cafe,high,3.5,29,14.237082,121.05704
Nonna's Pasta & Pizzeria,santa rosa,italian,high,4.0,72,14.23767897,121.0565874
Balay Dako,tagaytay city,filipino,high,4.5,211,14.101834,120.951589
Hobing Korean Dessert Cafe,taguig city,cafe,medium,4.5,118,14.55436,121.045878
Wildflour Cafe + Bakery,taguig city,cafe,high,4.5,392,14.549337,121.04622
NIU by Vikings,taguig city,seafood,high,4.5,535,14.545858,121.053725
The Food Hall by Todd English,taguig city,american,high,4.5,618,14.54565535,121.0534998
Chez Michou,brasí_lia,fast food,medium,3.0,6,-15.76414167,-47.88178889
Cafí© Daniel Briand,brasí_lia,cafe,low,4.0,9,-15.7775,-47.88266667
Casa do Biscoito Mineiro,brasí_lia,bakery,medium,3.5,11,-15.75747222,-47.88213611
Maori,brasí_lia,brazilian,high,4.0,11,-15.75883333,-47.88816667
Pizza íæ Bessa,brasí_lia,pizza,medium,3.0,11,-15.83116667,-47.91566667
Sushi Loko,brasí_lia,japanese,high,3.0,10,-15.831,-47.91566667
Beirute,brasí_lia,arabian,high,3.5,8,-15.82,-47.9075
New Koto,brasí_lia,japanese,high,3.5,5,-15.82733333,-47.91016667
Sandubas Cafí©,brasí_lia,brazilian,low,1.0,2,-15.797,-47.89016667
Villa Tevere,brasí_lia,italian,high,4.0,12,-15.83133333,-47.92366667
Rovereto,brasí_lia,pizza,high,3.0,9,-15.83716667,-48.019
Buena Carne,brasí_lia,bar food,high,3.5,9,-15.839775,-48.01909167
Taco Pep,brasí_lia,mexican,high,4.5,29,-15.83483333,-48.01666667
Coco Bambu,brasí_lia,international,high,4.0,17,-15.7865,-47.889
Taypíç,brasí_lia,peruvian,high,3.5,5,-15.860621,-47.872359
Outback Steakhouse,brasí_lia,american,high,4.0,10,-15.83451389,-47.95628333
Manzuíç,brasí_lia,seafood,high,3.0,6,-15.82566667,-47.87283333
Coco Bambu,brasí_lia,international,high,5.0,30,-15.819,-47.8685
Gero,brasí_lia,italian,high,3.5,8,-15.720118,-47.885812
Brazilian American Burgers,brasí_lia,american,medium,3.5,9,-15.79753056,-47.92102778
Pesqueiro Eco Gourmet,rio de janeiro,seafood,high,4.0,7,-23.0115,-43.377
Confeitaria Colombo,rio de janeiro,desserts,high,5.0,29,-22.905293,-43.178826
Bibi,rio de janeiro,juices,high,4.5,24,-22.97207222,-43.18669167
Cervantes,rio de janeiro,beverages,high,4.5,29,-22.96216667,-43.17583333
Amir,rio de janeiro,lebanese,high,4.0,11,-22.96516667,-43.176
TT Burger,rio de janeiro,burger,high,5.0,19,-22.98683333,-43.191
Braseiro da Gíçvea,rio de janeiro,brazilian,high,5.0,40,-22.973507,-43.227042
Balada Mix,rio de janeiro,brazilian,high,4.5,21,-22.98520833,-43.211425
Garota de Ipanema,rio de janeiro,brazilian,high,5.0,49,-22.98533333,-43.203
Zazíç BistríÇ Tropical,rio de janeiro,brazilian,high,4.5,21,-22.98531944,-43.20520833
Filí© de Ouro,rio de janeiro,brazilian,high,4.5,14,-22.966647,-43.219563
D.O.C Ristorante,rio de janeiro,italian,high,4.0,5,-22.99991111,-43.34879167
Sushi Leblon,rio de janeiro,japanese,high,4.5,25,-22.98416667,-43.227
Talho Capixaba,rio de janeiro,bakery,high,4.5,13,-22.98516667,-43.22566667
Leme Light,rio de janeiro,brazilian,medium,4.0,7,-22.963925,-43.17279167
Shirley,rio de janeiro,brazilian,high,4.0,8,-22.96337222,-43.17126389
Quiosque Chopp Brahma,rio de janeiro,bar food,high,1.0,1,-22.870413,-43.341164
Aprazí_vel,rio de janeiro,brazilian,high,4.5,44,-22.92481389,-43.18736944
Aconchego Carioca,rio de janeiro,brazilian,high,4.5,24,-22.91370833,-43.21551111
Garota de Ipanema,rio de janeiro,brazilian,high,4.5,10,-22.94783333,-43.16266667
Cantina Famiglia Mancini,sí£o paulo,italian,high,4.5,49,-23.55066667,-46.64516667
Templo da Carne - Marcos Bassi,sí£o paulo,steak,high,4.5,17,-23.559,-46.64633333
Gopala Hari,sí£o paulo,indian,high,3.0,5,-23.55616667,-46.65866667
Jiquitaia,sí£o paulo,brazilian,high,4.0,15,-23.55671,-46.657523
Skye - Hotel Unique,sí£o paulo,beverages,high,5.0,59,-23.581688,-46.666851
Les 3 Brasseurs,sí£o paulo,french,high,4.5,30,-23.582135,-46.67511
Red Steak & Burger,sí£o paulo,brazilian,high,4.0,5,-23.585324,-46.683888
Cantinho da Gula,sí£o paulo,brazilian,medium,1.0,0,-23.581,-46.67566667
Paris 6 Classique,sí£o paulo,french,high,3.5,73,-23.561568,-46.666041
Kawa Sushi,sí£o paulo,sushi,high,3.5,9,-23.571638,-46.657418
A Figueira Rubaiyat,sí£o paulo,bbq,high,4.5,39,-23.5655,-46.66983333
Kinoshita,sí£o paulo,sushi,high,4.0,12,-23.59233333,-46.67133333
Meats,sí£o paulo,gourmet fast food,high,4.5,68,-23.56483333,-46.68133333
Paribar,sí£o paulo,brazilian,high,4.5,46,-23.54664167,-46.64159444
Terraí_o Itíçlia,sí£o paulo,italian,high,4.5,37,-23.545163,-46.643425
Divino Fogí£o,sí£o paulo,brazilian,high,1.0,2,-23.5995,-46.63716667
Super Grill,sí£o paulo,brazilian,medium,1.0,2,-23.622925,-46.698574
Esquina Mocotí_,sí£o paulo,brazilian,high,4.5,22,-23.486535,-46.581672
Veloso,sí£o paulo,brazilian,high,4.5,58,-23.58516667,-46.63566667
Sainte Marie Gastronomia,sí£o paulo,lebanese,high,4.0,11,-23.609207,-46.746958
Austin's BBQ and Oyster Bar,albany,bbq,medium,3.5,35,31.610387,-84.221535
BJ's Country Buffet,albany,american,low,3.5,25,31.608743,-84.207095
El Vaquero Mexican Restaurant,albany,mexican,low,3.5,45,31.6158,-84.2194
Elements Coffee Co - Northwest,albany,coffee and tea,low,3.5,26,31.622412,-84.206944
Chick-fil-A,albany,fast food,low,3.5,67,31.616,-84.2193
Guang Zhou Chinese Restaurant,albany,asian,low,4.0,141,31.6155186,-84.2091458
